product_id,source_store_id,store_name,title,brand,price,size_value,size_unit,unit_price,unit_price_unit,organic,category,ingredient_key,ingredient_form,is_synthetic,packaging
prod_wholefoods_0001,wholefoods,Whole Foods Market,Boneless Skinless Chicken Breast,365 by Whole Foods Market,5.99,1.5,lb,0.3744,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0002,wholefoods,Whole Foods Market,Boneless Skinless Chicken Thighs,365 by Whole Foods Market,5.49,1.5,lb,0.3431,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0003,wholefoods,Whole Foods Market,Organic Boneless Skinless Chicken Breast,365 by Whole Foods Market,7.99,1.5,lb,0.4994,oz,True,protein_poultry,chicken,unknown,False,
prod_wholefoods_0001,wholefoods,Whole Foods Market,365 by Whole Foods Market Boneless Skinless Chicken Breast,365 by Whole Foods Market,5.99,3.5,lb,0.3744,oz,False,protein_poultry,chicken,whole,False,
prod_wholefoods_0002,wholefoods,Whole Foods Market,"365 by Whole Foods Market Nashville Hot Breaded Chicken Fillets, 8 OZ",365 by Whole Foods Market,7.99,3.5,lb,0.4994,oz,False,protein_poultry,chicken,whole,False,
prod_wholefoods_0003,wholefoods,Whole Foods Market,"365 By Whole Foods Market, Boneless Skinless Chicken Thighs",365 by Whole Foods Market,5.49,3.5,lb,0.3431,oz,False,protein_poultry,chicken,whole,False,
prod_wholefoods_0004,wholefoods,Whole Foods Market,"365 By Whole Foods Market, Organic Boneless Skinless Chicken Thighs",365 by Whole Foods Market,5.99,3.5,lb,0.3744,oz,True,protein_poultry,chicken,whole,False,
prod_wholefoods_0006,wholefoods,Whole Foods Market,Bell & Evans Bone In Chicken Thighs,Bell & Evans,4.49,2.0,lb,0.2806,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0007,wholefoods,Whole Foods Market,Bell & Evans Boneless Skinless Chicken Breast,Bell & Evans,6.99,1.5,lb,0.4369,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0008,wholefoods,Whole Foods Market,Bell & Evans Boneless Skinless Chicken Thighs,Bell & Evans,6.49,1.5,lb,0.4056,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0009,wholefoods,Whole Foods Market,Bell & Evans Chicken Drumsticks,Bell & Evans,3.49,2.0,lb,0.2181,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0010,wholefoods,Whole Foods Market,Bell & Evans Whole Chicken Legs,Bell & Evans,3.99,3.5,lb,0.2494,oz,False,protein_poultry,chicken,whole,False,
prod_wholefoods_0011,wholefoods,Whole Foods Market,Chicken Breast Boneless Skinless Air Chilled Tray Pack Value Pack Step 2,Bell & Evans,5.99,1.5,lb,0.3744,oz,False,protein_poultry,chicken,unknown,False,
prod_wholefoods_0012,wholefoods,Whole Foods Market,"Organic Boneless Skinless Breasts, Air-Chilled",Smart Chicken,13.49,,,0.0,oz,True,pantry,unknown,unknown,False,
prod_wholefoods_0013,wholefoods,Whole Foods Market,"Organic Ground Chicken, Air-Chilled",Smart Chicken,10.49,1.0,lb,0.6556,oz,True,protein_poultry,chicken,powder,False,
prod_wholefoods_0015,wholefoods,Whole Foods Market,"Classic Rotisserie Chicken, Chilled",Whole Foods Market,8.99,2.5,lb,0.5619,oz,False,protein_poultry,chicken,unknown,False,
