#	Product Name	Brand	Price	Prime Price	Availability
1	365 by Whole Foods Market Boneless Skinless Chicken Breast	365 by Whole Foods Market	$5.99/lb		In Stock
2	"365 by Whole Foods Market Nashville Hot Breaded Chicken Fillets, 8 OZ"	365 by Whole Foods Market	$7.99		In Stock
3	"365 By Whole Foods Market, Boneless Skinless Chicken Thighs"	365 by Whole Foods Market	$5.49/lb		In Stock
4	"365 By Whole Foods Market, Organic Boneless Skinless Chicken Thighs"	365 by Whole Foods Market	$5.99/lb		In Stock
5	Organic Boneless Skinless Chicken Breast	365 by Whole Foods Market	$7.99/lb		In Stock
6	Bell & Evans Bone In Chicken Thighs	Bell & Evans	$4.49/lb		In Stock
7	Bell & Evans Boneless Skinless Chicken Breast	Bell & Evans	$6.99/lb		Out of Stock
8	Bell & Evans Boneless Skinless Chicken Thighs	Bell & Evans	$6.49/lb		In Stock
9	Bell & Evans Chicken Drumsticks	Bell & Evans	$3.49/lb		In Stock
10	Bell & Evans Whole Chicken Legs	Bell & Evans	$3.99/lb		In Stock
11	Chicken Breast Boneless Skinless Air Chilled Tray Pack Value Pack Step 2	Bell & Evans	$5.99/lb		In Stock
12	"Organic Boneless Skinless Breasts, Air-Chilled"	Smart Chicken	$13.49/lb		In Stock
13	"Organic Ground Chicken, Air-Chilled"	Smart Chicken	$10.49/ea		In Stock
14	Organic Boneless Skinless Chicken Breast	Whole Foods Market	$8.99/lb		In Stock
15	"Classic Rotisserie Chicken, Chilled"	Whole Foods Market	$8.99		In Stock
